Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,17/11/2024,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.764483,199.4540475,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,23417911,351975,0,0,30756.04211,462.2683007,0,0
Albania,17/11/2024,337196,0,3608,0,Upper middle income,European Region,2854710,,118119.1785,1263.876191,0,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Algeria,17/11/2024,272173,,6881,,Upper middle income,African Region,44177969,,6160.830979,155.7563681,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,9045325,174423,0,0,7779.867385,150.0209013,0,0
American Samoa,17/11/2024,8359,,34,,High income,Western Pacific Region,45035,,185611.1913,754.9683579,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Andorra,17/11/2024,48015,,159,,High income,European Region,79034,,607523.3444,2011.792393,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Angola,17/11/2024,107482,,1937,,Lower middle income,African Region,34503774,,3115.079527,56.13878644,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Anguilla,17/11/2024,3904,,12,,,Region of the Americas,15753,,247825.811,761.7596648,,,18263911,105690,0,0,,,,,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Antigua & Barbuda,17/11/2024,9106,,146,,High income,Region of the Americas,93219,,97683.94855,1566.204315,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Argentina,17/11/2024,10109233,502,130710,6,Upper middle income,Region of the Americas,45276780,,223276.324,2886.910244,11.08736089,0.132518258,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Armenia,17/11/2024,453040,0,8779,0,Upper middle income,European Region,2790974,,162323.2606,3145.496877,0,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
